# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = C:\Users\zhixi\Documents\gitRepositories\sueAnalysis\stanModels\fittingData\j8dejk49kYZBbBMiwzoSr-data.R
# init = 2 (Default)
# random
#   seed = 208713
# output
#   file = j8dejk49kYZBbBMiwzoSr-output-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,tau
# Adaptation terminated
# Step size = 0.171478
# Diagonal elements of inverse mass matrix:
# 26.8089, 89.6501, 43.6873, 63.3211, 51.3084, 40.5103, 45.7311, 48.9145, 78.8694, 0.779054
-23.5725,0.895736,0.171478,4,31,0,27.5503,12.0609,20.334,12.9875,12.1073,22.434,3.67721,-2.53604,13.8065,-1.65126,18.316
-18.9735,0.992281,0.171478,4,31,0,26.5903,7.3655,9.48168,3.02564,2.57608,12.7697,6.96047,-1.85413,12.4177,14.3587,3.87882
-17.958,0.979046,0.171478,3,15,0,20.9257,7.98726,8.45354,3.09218,2.10097,15.0408,6.62505,-0.909592,13.8518,12.8213,5.00612
-16.279,0.963122,0.171478,4,15,0,24.7067,10.0192,13.2024,6.12411,7.08276,12.1344,6.83678,-0.835898,8.82789,9.0196,4.86952
-15.5379,0.968055,0.171478,3,15,0,19.2712,7.96185,10.7555,13.7111,9.59328,12.6029,7.3012,2.58762,11.1547,8.35494,5.37361
-14.9885,0.966993,0.171478,3,11,0,17.2996,7.94303,10.2682,14.7638,6.3056,11.6198,7.112,2.31177,8.9802,6.56447,3.99535
-14.7053,0.990669,0.171478,4,15,0,18.0657,8.68796,9.81438,0.632998,7.61669,10.6829,7.655,9.25637,11.0341,12.0135,3.35781
-14.7735,0.950912,0.171478,4,15,0,20.585,7.72127,9.22429,15.3525,8.01915,6.5252,8.49745,4.3217,6.56231,5.01925,3.50456
-14.4685,0.994732,0.171478,4,23,0,17.7959,3.6525,2.9258,-0.160901,1.7725,5.19492,4.79473,6.94332,8.16033,-0.276194,2.7836
-17.5419,0.859116,0.171478,4,15,0,21.4613,2.2761,6.5749,9.69393,2.68908,2.48666,-4.30135,-4.17239,1.84154,1.13252,4.01547
-21.2179,0.921775,0.171478,3,15,0,22.939,1.99459,10.4948,13.5865,10.0773,7.74245,-3.40224,-4.53104,7.85021,9.53395,13.0594
-20.2176,0.987729,0.171478,4,31,0,24.2259,5.48647,14.3646,13.6998,1.02994,2.8947,-2.56386,-0.58618,3.72242,-4.04409,5.42376
-15.3713,0.989875,0.171478,4,15,0,22.2419,9.23274,3.26768,2.36218,8.64365,7.50107,8.02608,7.74313,10.847,9.95781,4.07981
-17.4576,0.95868,0.171478,4,31,0,21.0954,3.60848,6.81251,1.73608,4.62398,11.4171,0.765585,11.9505,4.31973,6.94691,4.62323
-21.1946,0.981454,0.171478,4,15,0,24.2315,8.65554,16.3687,11.3644,11.6757,-0.401565,3.4018,-3.90884,25.3332,9.7508,12.5885
-28.7049,0.965265,0.171478,5,31,0,32.1795,-3.11919,24.7679,5.78169,-29.1048,7.96315,3.42305,20.2563,9.12096,-15.1201,18.2288
-26.7394,0.988852,0.171478,5,31,0,32.4976,-3.69211,24.4057,-3.6257,-22.9322,-7.45326,-4.15737,-3.12304,18.6979,-16.4276,15.4183
-27.8978,0.952586,0.171478,5,31,0,33.6506,-3.62138,-11.0442,6.93333,-15.2879,2.42422,-9.26461,16.9963,11.6301,1.13608,19.8846
-26.88,0.988401,0.171478,5,31,0,32.8324,19.0664,31.8648,0.716436,19.8489,11.8002,12.2053,-11.0154,11.714,11.0903,23.6495
-28.7674,0.988309,0.171478,5,31,0,35.4738,18.257,45.0305,19.2456,-0.869314,-5.15578,-7.73557,-0.363614,15.1667,-13.3419,19.9597
-26.0059,0.99417,0.171478,5,31,0,33.6087,5.22864,-8.94402,-3.46697,0.121098,15.0126,9.43465,6.11805,5.61274,16.6783,15.9055
-19.5689,0.997819,0.171478,4,15,0,28.5878,6.46856,16.183,4.91464,-8.74287,10.0907,7.53394,5.4443,12.3777,5.64733,11.0112
