# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = C:\Users\zhixi\Documents\gitRepositories\sueAnalysis\stanModels\eightschools\fittingData\Fnc91Wn2HXaKFMivT6k8QL-data.R
# init = 2 (Default)
# random
#   seed = 208526
# output
#   file = Fnc91Wn2HXaKFMivT6k8QL-output-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,tau
# Adaptation terminated
# Step size = 0.161039
# Diagonal elements of inverse mass matrix:
# 37.3332, 64.7625, 31.7164, 71.7338, 40.7299, 43.5447, 57.8626, 39.5439, 54.5401, 0.808917
-20.4841,0.995429,0.161039,6,79,0,25.8557,-0.00410127,-4.30019,2.50229,-10.6963,-0.377133,-6.05706,0.867804,4.03858,3.06121,8.57554
-20.4735,0.98134,0.161039,5,31,0,28.9734,14.3954,22.8197,9.00006,22.0244,14.0822,18.1378,5.15196,18.3155,9.70354,6.02382
-17.3294,0.953366,0.161039,5,31,0,24.1294,10.0209,8.62099,17.9672,6.56372,11.2941,0.573491,4.9419,12.7153,11.7369,4.56138
-14.736,0.980852,0.161039,4,15,0,20.4457,11.7177,12.7894,5.57324,11.4026,8.51829,14.9391,11.1939,10.4776,10.0053,3.67068
-13.6403,0.77616,0.161039,3,15,1,16.9555,12.9851,15.2691,11.6368,12.7135,12.467,6.33152,12.2915,15.3984,15.2539,2.34707
-10.9014,0.944865,0.161039,5,39,0,19.1282,4.68197,6.40679,4.94375,4.80975,5.56524,3.8436,4.91329,2.71789,0.492413,2.0272
-12.0011,0.886601,0.161039,3,7,0,14.9547,4.00777,0.42198,4.44116,1.84038,3.60753,4.86265,3.07834,4.22877,7.59549,1.9394
-9.09278,0.914975,0.161039,3,7,0,13.7918,3.2384,5.84666,2.29405,5.02308,4.5438,3.45221,2.57826,4.38114,1.86622,1.44275
-9.81545,0.210351,0.161039,4,19,0,12.1141,5.02396,2.78259,6.38389,2.66797,4.03153,4.89164,6.17497,4.94168,7.12168,1.80776
-11.4064,0.25231,0.161039,3,7,0,14.0458,4.11972,8.43784,3.81417,5.90959,5.44868,5.6362,3.8005,3.42122,3.83172,2.74064
-17.1704,0.657299,0.161039,2,3,0,19.6963,5.88862,6.09796,5.29332,5.71345,4.77569,5.79283,8.74602,-0.731561,3.25504,1.79588
-17.5849,1,0.161039,4,15,0,20.4472,9.76167,15.9355,5.55467,9.34456,9.82644,10.4133,16.0859,14.9039,3.96219,3.59662
-20.1575,0.798399,0.161039,4,31,0,22.913,2.53344,4.56225,11.1912,4.95238,0.514005,1.72601,-1.25632,2.00868,11.6201,3.20665
-17.0129,1,0.161039,4,15,0,22.7634,7.98081,12.4979,8.06216,6.8218,3.16166,1.49071,-0.059216,7.86695,7.54471,7.82595
-18.0202,0.996506,0.161039,4,15,0,19.7866,4.47463,7.60588,9.5065,7.74649,5.46128,6.06769,-4.71929,13.4209,3.7469,4.14346
-16.3481,0.999843,0.161039,4,15,0,21.9251,4.51238,6.59155,5.26565,5.6002,9.82905,6.9162,0.260906,10.2333,0.0829923,6.19271
-17.1004,0.860497,0.161039,3,13,1,18.1546,5.55275,5.02778,4.88589,6.1016,10.8659,7.29523,1.01569,8.38934,1.12067,7.18791
-13.4205,0.95524,0.161039,3,15,0,19.7924,4.64671,11.5159,5.33818,2.64939,6.37506,4.0237,4.65238,2.91229,3.82765,3.64821
-14.8315,0.998394,0.161039,3,15,0,17.7917,0.816294,1.03612,6.49854,0.628672,-2.77083,0.926471,-1.9178,3.53147,4.02998,3.13049
-12.443,0.912852,0.161039,4,31,0,21.8725,13.484,18.6073,11.7885,12.591,12.6884,14.9309,11.9536,15.2563,13.2886,2.49042
-13.527,0.877726,0.161039,3,15,0,15.7189,13.2094,9.36913,12.0046,15.2374,15.6699,13.1816,14.8944,10.7959,13.0085,1.85871
-11.5892,0.960915,0.161039,3,7,0,16.6563,13.8713,16.0416,13.9017,13.2828,11.0562,14.7472,10.5772,14.2317,15.4538,1.64721
-12.0405,0.58818,0.161039,3,7,0,16.0617,14.6805,11.3698,13.5886,14.5868,15.8858,11.7777,13.9072,14.0745,14.5968,2.71717
-15.4562,0.383841,0.161039,4,15,0,21.0103,10.9992,14.7873,13.6111,13.1494,12.137,14.0398,14.3039,16.2102,10.983,2.63059
-12.4203,0.888989,0.161039,3,7,0,18.0645,11.5785,11.0802,13.6673,12.0993,8.6833,14.3865,10.4772,13.4598,14.7208,2.17877
-11.5602,0.448634,0.161039,2,7,0,23.1644,13.8667,11.6919,14.9535,13.3801,11.7477,14.0529,11.2372,12.4009,16.0561,1.59058
-14.0058,0.612916,0.161039,4,15,0,16.8937,15.8665,18.4207,12.9647,17.3313,18.5403,14.4361,17.8042,17.3909,12.9412,2.41323
-12.6119,0.999444,0.161039,3,7,0,16.9663,15.2517,14.0995,17.5699,13.6491,12.8434,14.0963,12.9215,16.1932,17.7803,1.59864
-13.3511,0.924495,0.161039,3,7,0,18.0383,14.663,18.6254,14.255,12.1713,11.6749,14.0497,13.0626,16.5247,16.1998,3.49094
-19.1326,0.88785,0.161039,3,15,0,20.4309,15.793,19.801,11.549,17.5215,18.2583,11.5586,6.77422,22.5644,6.77726,5.77264
-23.0773,0.910112,0.161039,4,15,0,26.6689,11.8074,14.5056,18.6576,4.64591,10.9975,13.3041,19.4921,7.90516,25.2725,11.4853
-22.9521,0.995314,0.161039,5,31,0,29.0366,4.81587,13.7717,11.7912,18.8574,12.9603,-0.106174,-1.72883,22.3328,-3.06083,15.3297
-22.0361,0.971312,0.161039,5,31,0,33.8713,4.75602,18.98,5.03168,2.81705,2.66556,10.4158,4.65297,19.4067,-10.9977,8.18246
-21.7019,1,0.161039,5,31,0,25.6673,8.77195,22.513,11.8156,-5.34977,9.92533,-4.06601,8.00641,16.715,27.6073,13.1135
-19.4027,0.98136,0.161039,5,31,0,27.5758,14.3952,19.4319,13.4618,25.9225,15.7201,14.5222,13.9562,18.8897,12.8486,4.8539
-18.1569,0.875837,0.161039,4,15,0,23.4997,18.7074,16.0987,15.057,16.48,12.1407,9.61679,10.7743,19.3977,20.0116,5.15389
-22.5034,0.896907,0.161039,4,15,0,23.7467,21.8382,20.8459,17.8895,6.94696,13.9364,7.30417,17.9357,23.919,11.4338,7.62561
-19.8421,0.995079,0.161039,5,31,0,26.4522,-0.169379,11.0067,1.83497,6.48309,-5.9457,3.57329,6.7841,1.5077,1.0177,6.08767
-20.2544,0.992835,0.161039,4,15,0,22.6614,4.09714,4.60362,3.86474,-0.188641,-8.3677,4.83944,3.49479,5.0718,-5.97445,6.03405
-19.5609,0.986811,0.161039,4,31,0,24.2448,0.407951,3.1053,10.3077,4.33759,-3.77579,1.98211,9.7244,5.72707,-1.74795,6.06969
-15.8157,0.863634,0.161039,4,31,0,24.6646,8.50049,10.6547,10.1128,5.38033,9.56978,11.2871,12.8726,16.4707,9.99427,4.89369
-14.2562,0.941218,0.161039,4,15,0,20.7063,8.33347,11.4329,10.6529,5.91353,5.15588,13.1173,10.2591,9.53912,7.51103,3.87482
-18.8423,0.916146,0.161039,4,15,0,20.5414,9.464,8.92406,5.43627,15.6763,14.645,-1.66866,2.38424,12.4698,13.2055,4.92527
-22.0796,0.998468,0.161039,4,31,0,24.1022,12.2798,25.8672,3.22452,4.65717,9.73693,11.4063,7.26347,29.7767,7.69188,7.8506
-22.6098,0.999801,0.161039,5,31,0,25.9229,13.9613,33.2461,9.09401,12.0083,17.9187,10.3851,4.89507,23.9414,1.7207,13.9857
