# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = eight_schools_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = C:\Users\zhixi\Documents\gitRepositories\sueAnalysis\stanModels\fittingData\j8dejk49kYZBbBMiwzoSr-data.R
# init = 2 (Default)
# random
#   seed = 208713
# output
#   file = j8dejk49kYZBbBMiwzoSr-output-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,tau
# Adaptation terminated
# Step size = 0.21712
# Diagonal elements of inverse mass matrix:
# 28.1971, 86.3394, 51.0423, 55.478, 49.7788, 41.3054, 50.0802, 47.1662, 77.7187, 0.432978
-24.0364,0.92819,0.21712,4,31,0,28.1151,6.53408,16.931,13.7405,12.2493,9.61064,0.047618,21.536,9.60231,26.5991,13.7968
-21.5776,0.994593,0.21712,4,31,0,28.4339,8.14089,8.2121,0.859247,7.14044,-5.39609,-2.89319,-3.29289,13.1516,11.3886,6.40827
-20.4852,0.735415,0.21712,4,31,0,27.7866,0.885136,9.85078,13.642,9.89718,7.2042,1.13525,6.98628,2.31145,3.47743,7.54324
-22.4578,0.987366,0.21712,4,15,0,27.4586,11.39,14.2334,13.8082,1.59772,11.2928,3.05716,1.93928,-0.198585,15.2383,15.259
-22.5704,0.986257,0.21712,4,15,0,26.8439,12.1327,25.5717,-0.59452,18.6198,-3.59356,9.06888,4.50118,14.1294,10.3455,8.04479
-18.5526,0.998868,0.21712,4,15,0,25.0876,11.3545,6.84949,14.222,2.408,17.2444,1.66836,11.4764,15.2889,8.63741,5.25141
-18.7785,0.910468,0.21712,4,31,0,23.6625,11.961,6.62578,11.8226,2.53361,10.4812,-0.789614,13.2059,11.2552,7.63544,6.22933
-20.3612,0.988676,0.21712,4,15,0,23.9638,12.087,28.0138,10.7737,10.6868,8.2067,9.29885,0.54236,19.3958,5.26019,12.1325
-23.4258,0.985789,0.21712,4,15,0,25.983,17.712,31.1458,21.4424,8.23268,15.7284,2.61593,10.8066,6.77719,23.7701,15.2398
-26.5205,0.994161,0.21712,4,15,0,27.9159,23.5101,24.3765,24.4616,-0.428633,11.2337,6.15477,14.0924,6.95812,33.8048,11.6911
-22.5179,0.913541,0.21712,3,15,0,32.9,17.5478,33.4122,16.3084,0.256139,14.5326,3.64192,12.4359,15.3787,28.0618,9.42683
-27.6608,0.946801,0.21712,4,15,0,31.5062,4.97437,8.3111,2.32923,-2.04844,-6.78805,18.1874,1.53295,14.2704,38.0507,15.5562
-27.07,0.994337,0.21712,4,15,0,33.7799,6.7883,6.94035,2.95973,-1.37214,-6.41577,15.9677,1.99657,10.515,38.7604,14.0136
-21.3968,0.997257,0.21712,4,15,0,30.8029,0.997698,13.1789,16.3493,-13.3339,5.29471,-1.09433,-0.328112,12.8184,8.092,9.72294
-18.8974,0.995863,0.21712,4,15,0,24.9687,5.00929,1.43656,-3.9507,-1.90488,2.50885,8.15083,1.76821,3.07927,4.01981,5.5783
-15.4762,0.840399,0.21712,4,23,0,20.3082,9.09576,11.0506,14.9029,11.3956,8.73139,2.75888,7.65824,10.9964,11.0481,2.55303
-14.5239,0.954861,0.21712,3,7,0,19.0116,9.63938,6.4276,7.19712,3.86254,10.9977,10.3416,6.68334,12.7874,12.2203,4.24508
-15.5333,0.893453,0.21712,3,7,0,19.9402,9.17751,7.52278,7.08305,6.01024,10.2477,11.6334,4.48619,13.9529,15.3482,3.32387
-18.9074,0.926005,0.21712,4,15,0,20.64,10.1302,21.7756,16.2642,-0.18279,5.60543,0.946945,9.90947,11.6524,5.49934,8.69068
-19.7439,0.96326,0.21712,3,15,0,20.447,7.74179,22.8563,18.4639,0.475301,6.57407,-0.449859,6.9538,10.8139,2.26949,9.53687
-18.6074,0.999966,0.21712,4,15,0,22.7525,8.1627,4.07872,0.60645,4.86051,2.86349,8.80443,12.8215,16.8851,12.2238,5.92686
-17.0973,0.983285,0.21712,3,15,0,22.3056,5.26704,16.64,3.85419,-0.450278,5.50523,6.44119,4.70446,9.25889,0.00954002,4.49676
-20.1746,0.652219,0.21712,4,15,0,29.2967,14.2421,14.2928,12.488,14.1211,8.51088,-2.16047,1.14296,16.2589,22.3439,7.73438
-18.0486,0.981959,0.21712,4,15,0,24.3289,9.22778,14.0243,9.58876,6.25091,15.1689,9.68926,0.310955,12.2679,19.5623,6.32278
-17.8911,0.983028,0.21712,4,31,0,23.0597,6.5545,5.72006,-2.04595,2.14216,1.4832,5.46546,0.914281,10.4898,12.5832,6.61847
-19.9951,0.97884,0.21712,4,15,0,25.5953,17.8813,16.4239,22.2223,13.8337,19.3129,5.45481,17.4579,15.335,16.5586,3.97343
